Msqnm,Fctn,Prvn,Pftn,Cont,Spfcadd,Msqintdc,Topmsq,Kcrsusp,Sncarlv,Longit,Latit
藁城市九门清真南寺,年代不详,河北省,石家庄市,藁城区,石家庄市藁城区,九门村位于滹沱河(藁城段)与周汉河交汇处。唐朝时期，大将军郭子仪奉皇命率军于公元756年春于九门狐子沟作战，战役后沟通了九门至丝绸之路的通道。部分信仰伊斯兰教的士兵，商客在此留生。伊斯兰教传入九门村，并建简陋清真寺(此清真寺便是最早的南寺)。明初，从山西洪洞迁来一批回民，回民随之剧增。,,,,114.846760,38.021660
无极高头清真寺,年代不详,河北省,石家庄市,无极县,河北省无极县高头村,"高头清真寺是无极县的清真古寺之一，始建于明嘉庆十九年(1540年)高头村地区。高头清真寺总面积为4567平方米，是一座中国宫殿式和阿拉伯式建筑风格相结合的伊斯兰教清真寺。高头清真寺的""钦赐宝瓶""，对于增强民族团结，不忘国耻，强国富民，有很好的象征意义。",,,,114.858040,38.118980
无极高头清真东寿,年代不详,河北省,石家庄市,无极县,,"高头村有两座清真寺，西寺建筑年代较早，历史悠久。东寺建于1919年，时因教内纷争而分坊。""文革""中被关闭，文物遭毁。1990年教民自发组织予以修复。现寺占地约O.5亩，礼拜大殿为中国传统建筑形式，面积45平方米。寺内现存手抄本《古兰经》15卷，藏阿拉伯文、波斯文经卷320余本，有满拉15人。本寺坊教民46O户，1302人，均属回族。清老格迪目。",,,,114.976380,38.179150
迁安县建昌营清真寺,,河北省,唐山市,迁安市,,,,,,103.369019,34.707512
唐山清真大寺,年代不详,河北省,唐山市,,河北省唐山市,唐山清真大寺在1976年唐山大地震时大殿化为灰烬，1984年国家投入30万元复建清真大寺。寺内的礼拜大殿为沙特阿拉伯式。,,,,118.460230,39.273130
唐山市路南区清真寺,1995年,河北省,唐山市,,,路南区清真寺位于小山街道办事处境内水沟沿街1号，是路南区伊斯兰教活动的主要场所。创建于1995年。,,,,109.740997,24.486090
临西县洪官营清真寺,明代,河北省,邢台市,临西县,河北省临西县老官寨乡,"洪官营清真寺位于河北省临西县老官寨乡二里多，在浓荫翠绿掩映之中，有一座古寺。始建年月无文字可考，据老人们说，建于明初。占地面积仅约2亩。寺门楼上高悬金字""清真寺""黑漆匾，出自村里党支部副书记李文明的手笔。",,,,115.610687,36.875088
威县黄街清真寺,年代不详,河北省,邢台市,威县,,黄街清真寺位于河北省威县黄街，建于元顺帝至正十年(1350年)。建筑总面积570平方米，礼拜殿由前、中、后3殿组成，气势宏伟。配有讲堂、沐浴室、大门、二门，呈元末明初建筑风格。,,,,114.860374,33.812462
邢台市靛市街清真寺,年代不详,河北省,邢台市,,,邢台市靛市街清真寺座落在邢台市旧城南关靛市街，因居南关北部，又称北寺。占地面积1500平方米，建筑有门楼、南北讲堂、沐浴室，礼拜殿和古棚等，均是宫殿式歇山顶。,,,,114.473030,37.091980
邢台市车站街清真寺,年代不详,河北省,邢台市,,,邢台市车站街清真寺。该寺座落于城区西关火车站附近，又称西寺。1923年修建，占地面积500平方米，礼拜殿是三大间起脊瓦房，讲堂和沐浴室为平房。,,,,114.473030,37.091980
邢台清真寺,年代不详,河北省,邢台市,,河北省邢台市冶金北路,"邢台清真寺亦称邢台市清真西寺。始建于1923年。1958年至""文革""期间被关闭，部分建筑被毁。1992年迁现址，重建为阿拉伯式建筑风格的寺院。南寺阿訇:杨建华西寺阿訇:张景龙",,,,114.473030,37.091980
邢台市马市街清真寺,年代不详,河北省,邢台市,,,"马市街清真寺位于邢台市南关南部，并与北寺相对，故又称南寺。该寺周围马市街、南头村、楼下道村、羊市街、羊市道、牛市街等街巷村落聚居着丁、马、白、王、吴等姓回族穆斯林，称为""南坊高目""。",,,,112.488968,34.702751
沧州市运河区清真西寺,年代不详,河北省,枣庄市,,山东省枣庄市,沧州市的清真西寺位于运河区民主街西寺胡同内，始建于公元1740年，占地面积1445平方米，其中建筑面积510平方米，内有大殿一座，折房13间，平房20间，共计房屋33间，属于伊斯兰教哲赫仁耶派唯一一座清真寺。,,,,117.461300,35.099630
怀来王家楼清真寺,年代不详,河北省,张家口市,怀来县,河北省怀来县王家楼回族乡,王家楼清真寺位于河北省怀来县王家楼回族乡，始建于清中期，1985年重建部分建筑。全寺占地约二亩，大殿在台基之上，为中国传统式一卷一脊建筑。,,,,115.590607,40.495609
张家口土尔沟清真寺,年代不详,河北省,张家口市,桥东区,河北省张家口市桥东区土尔沟街,"张家口土尔沟清真寺位于桥东区土尔沟街。京张铁路通车后，桥东区随之繁荣起来;该寺由北京南大厂、三河县相继迁来的回族群众于民国元年集资建立的。占地约3.5亩。房52间(包括女寺)，称""北京、京东坊上""。其高目多杨、陈、何、马等姓。",,,,114.894360,40.788470
张家口宣化区清真寺,清道光三十年（1850年）,河北省,张家口市,宣化区,河北省张家口市宣化区后府街38号,宣化区清真寺位于河北省张家口市宣化区后府街38号，始建于清道光三十年(1850年)前后。全寺建筑总面积790平方米，大殿建筑面积270平方米。,,,,115.062750,40.618300
