Chrnm,Fctn,Prvn,Pftn,Cont,Spfcadd,Saltm,Chrintdc,Longit,Latit
教堂名称,建立日期,所属省份,所属地级市,所属区县,具体地址,礼拜时间,基督教堂简介,经度,纬度
莆田市基督教堂,年代不详,福建省,莆田市,荔城区,福建省莆田市荔城区北大街77号,,"莆田基督教堂，原名天道堂，原为美以美会兴化年议会总堂，为东南亚四大教堂之一，亦是中国中西合璧保存完整的近现代代表性建筑之一。1864年，基督教传入福建莆田地区(时称兴化)，1894年在坊巷购得""奕世金紫""故址，改建教堂称""天道堂""，可容纳千人聚会。1896年兴化教区成立年议会，辖有府城、涵江、黄石、笏平、仙游五个教区。随着信徒人数不断增加，天道堂无法满足信徒聚会需要，教会于1915年在马台里(后称仓边巷14号，今为北大北街77号)购地四亩多建造新堂，1918年竣工，1920年1月投入使用，大教堂建筑面积为1572平方米，能容纳会众三千余人。教堂建筑融中西建筑艺术风格为一体，既有中国宫殿式的古朴典雅之庄重，又有哥特式的雄伟宽敞之壮观。屋顶采用中国传统的挑檐与翘角的造型，瓦屋面，门窗则采用哥特式造型，向外凸出，使墙面富于变化。外墙采用粗糙的花岗岩条石砌筑，具有立体感。教堂的设计有其独到之处，屋架为钢筋混凝土结构，内部宽敞明亮。平面凸字形，向北面凸出部分设讲台，缩短纵向的视距接近于两旁横向视距，使听觉及视觉基本上保持一致。东南角及西南角均隔建成楼梯间及辅助用房，当声波扩散时被东西两处墙角抗阻，不致产生回声。堂内柱子极少，可最大限度减少对信徒视线的遮挡。文革期间，教堂停止宗教活动。1984年，天道堂归还教会，经重新整修后于1986年3月9日重新恢复礼拜，定名为""基督教莆田堂""。1993年6月，基督教莆田堂被评为市级文物保护单位。1996年被评为福建省第四批省级文物保护单位。莆田堂教会经过建殿辉耀、倡学慈善、兴化五旬节、宋博士奋兴会、遭日机重弹轰炸、落实政策重新开堂、同心协力复兴主工、市两会成立作为驻地……使这古韵新姿的教堂显得更加神圣庄严。",119.015010,25.431310
泉州市泉南堂,,福建省,泉州市,,福建省泉州市中山中路374号,日9:00；14:00,,118.590740,24.911100
泉州市泉西堂,,福建省,泉州市,,福建省泉州市西街208号,日9:00；14:00,,118.583050,24.913860
厦门新街基督教堂,1848年,福建省,厦门市,思明区,福建省厦门市思明区台光街29号,,"新街基督教堂位于福建省厦门市思明区台光街29号，是中国最早建造的新教教堂，有""中华第一圣堂""的誉称，福建省省级文物保护单位。1842年2月，美国归正教会派遣雅卑理牧师(DavidAbeel)来厦传教，福音开始传入厦门。1844年4月，美国归正教会又派遣波罗满牧师(W.J.Pohlman)和罗啻牧师(ElihuDoty)来厦接替雅卑理的工作。他们于1847年在市中心东边的新街仔购买了一块4000尺的土地建造教堂，1848年开始动工，年底竣工，次年2月11日举行献堂典礼。这座教堂原为希腊建筑风格，砖木结构，取名""新街礼拜堂""。由于教堂年久失修，1928年教堂屋顶塌陷，于1933年原址重建，1935年竣工。整个教堂的建筑为罗马风格，红色坡顶，前廊柱则由原来的四根改为六根，屋顶前面建有八边形钟塔，塔内悬挂1848年购置的美国制造的铜合金钟。在主堂外正面上方镶嵌一椭圆形石匾，其铭文是""敬拜真神大主宰之堂/耶稣降生一千八百四十八年/道光廿八""。圣殿前廊的墙上镶嵌中华基督教会全国总会分别于1933年和1935年赠送的""中华第一圣堂""和""耶和华驻驿之所""两块石匾，一直留存至今。文革期间，教堂被迫停止聚会。十一届三中全会以后，党的宗教信仰自由政策得到贯彻落实，该堂于1979年8月26日率先复堂。复堂以来，在上帝的恩眷下，各项事工不断发展，设立了圣工部、团契部、圣乐部、关怀部、总务部及办公室六大部门，下辖四十六个事工小组，先后恢复了圣歌团、查经会、祷告会、问道班、主日学、探访组及青年团契，成立了中老年团契、少年团契、文字组、英语角、青年诗班、彩虹诗班、主日学诗班、少年诗班、主日接待组、济贫组、婚姻辅导小组、丧事组、医务组、后勤组、社区关怀基金、山区教牧爱心基金、志愿消防队、安全疏导班……近年来教堂每年还举办基要真理培训、培灵会、同工退修会、长执培训、专项事工培训、烛光礼拜、圣乐崇拜、主日学营会、青少年夏令会、闽南语培训、事工研讨会等，以多元的方式牧养信徒。",118.082110,24.453630
厦门市三一堂,,福建省,厦门市,,福建省厦门市鼓浪屿安海路71号,日9:00；14:30；19:30,,118.067020,24.444210
厦门市竹树堂,,福建省,厦门市,,福建省厦门市开禾路133号,日9:00,,118.074730,24.459830
漳州市东坂后堂,,福建省,漳州市,,福建省漳州市新华西路216号,日9:00；14:30,,117.651210,24.508250
白银市白银堂,,甘肃省,白银市,,甘肃省白银市工农路4号,日12:00,,104.170031,36.537319
嘉峪关市基督教会,,甘肃省,嘉峪关市,,甘肃省嘉峪关市文化北路1号,日10:00,,98.260750,39.797204
酒泉市礼拜堂,,甘肃省,酒泉市,,甘肃省酒泉市雄关路大桥教会,日10:00,,98.497925,39.745243
