Prvn,Pftn,Cont,Arcd,Dilttp,Ehncdilt1,Ehncdilt2,Ehncdilt3,Ehncdilt4,Ehncdilt5
451281,广西壮族自治区,河池市,宜州市,少数民族方言区,壮侗语族,傣语支,壮语,北部方言,柳江次方言
451302,广西壮族自治区,来宾市,兴宾区,少数民族方言区,壮侗语族,傣语支,壮语,北部方言,柳江次方言
451321,广西壮族自治区,来宾市,忻城县,少数民族方言区,壮侗语族,傣语支,壮语,北部方言,柳江次方言
451322,广西壮族自治区,来宾市,象州县,少数民族方言区,壮侗语族,傣语支,壮语,北部方言,红水河次方言
451324,广西壮族自治区,来宾市,金秀瑶族自治县,少数民族方言区,壮侗语族,拉珈语,,,
451324,广西壮族自治区,来宾市,金秀瑶族自治县,少数民族方言区,苗瑶语族,瑶语,,,
451381,广西壮族自治区,来宾市,合山市,少数民族方言区,苗瑶语族,瑶语,,,
451381,广西壮族自治区,来宾市,合山市,少数民族方言区,壮侗语族,傣语支,壮语,北部方言,柳江次方言
451421,广西壮族自治区,崇左市,扶绥县,少数民族方言区,壮侗语族,傣语支,壮语,南部方言,邕南次方言
451422,广西壮族自治区,崇左市,宁明县,少数民族方言区,壮侗语族,傣语支,壮语,南部方言,左江次方言
451423,广西壮族自治区,崇左市,龙州县,少数民族方言区,壮侗语族,傣语支,壮语,南部方言,左江次方言
451424,广西壮族自治区,崇左市,大新县,少数民族方言区,壮侗语族,傣语支,壮语,南部方言,左江次方言
451425,广西壮族自治区,崇左市,天等县,少数民族方言区,壮侗语族,傣语支,壮语,南部方言,左江次方言
451481,广西壮族自治区,崇左市,凭祥市,少数民族方言区,壮侗语族,傣语支,壮语,南部方言,左江次方言
520121,贵州省,贵阳市,开阳县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,罗泊河次方言,
520121,贵州省,贵阳市,开阳县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,川黔滇次方言,第一土语
520121,贵州省,贵阳市,开阳县,少数民族方言区,壮侗语族,傣语支,布依语,,
520123,贵州省,贵阳市,修文县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,贵阳次方言,北部土语
520181,贵州省,贵阳市,清镇市,少数民族方言区,苗瑶语族,苗语,川黔滇方言,贵阳次方言,南部土语
520203,贵州省,六盘水市,六枝特区,少数民族方言区,藏缅语族,彝语,,,
520203,贵州省,六盘水市,六枝特区,少数民族方言区,苗瑶语族,苗语,川黔滇方言,川黔滇次方言,第一土语
520203,贵州省,六盘水市,六枝特区,少数民族方言区,壮侗语族,傣语支,布依语,,
520203,贵州省,六盘水市,六枝特区,少数民族方言区,壮侗语族,侗水语支,仫佬语,,
520381,贵州省,遵义市,赤水市,少数民族方言区,苗瑶语族,苗语,川黔滇方言,川黔滇次方言,第一土语
520382,贵州省,遵义市,仁怀市,少数民族方言区,苗瑶语族,苗语,川黔滇方言,川黔滇次方言,第一土语
520421,贵州省,安顺市,平坝县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,贵阳次方言,南部方言
520421,贵州省,安顺市,平坝县,少数民族方言区,壮侗语族,傣语支,布依语,,
520422,贵州省,安顺市,普定县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,川黔滇次方言,第一土语
520423,贵州省,安顺市,镇宁布依族苗族自治县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,川黔滇次方言,第一土语
520423,贵州省,安顺市,镇宁布依族苗族自治县,少数民族方言区,藏缅语族,彝语,,,
520423,贵州省,安顺市,镇宁布依族苗族自治县,少数民族方言区,壮侗语族,傣语支,布依语,,
520423,贵州省,安顺市,镇宁布依族苗族自治县,少数民族方言区,壮侗语族,侗水语支,仫佬语,,
520424,贵州省,安顺市,关岭布依族苗族自治县,少数民族方言区,苗瑶语族,苗语,黔东方言,北部土语,
520424,贵州省,安顺市,关岭布依族苗族自治县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,川黔滇次方言,第一土语
520425,贵州省,安顺市,紫云苗族布依族自治县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,川黔滇次方言,第一土语
520425,贵州省,安顺市,紫云苗族布依族自治县,少数民族方言区,壮侗语族,傣语支,布依语,,
520521,贵州省,毕节地区,大方县,少数民族方言区,藏缅语族,彝语,,,
520522,贵州省,毕节地区,黔西县,少数民族方言区,藏缅语族,彝语,,,
520523,贵州省,毕节地区,金沙县,少数民族方言区,苗瑶语族,苗语,川黔滇方言,贵阳次方言,北部土语
