Bdhttpnm,Fctn,Drctnm,Cratdt,Prvn,Pftn,Cont,Spfcadd,Tpintdc,Topbdtp,Kcrsusp,Sncarlv,Longit,Latit,source_file,religion_type,Taotpnm,Msqnm,Msqintdc,Topmsq,Chrnm,Mastm,Chrintdc,Topshr,Saltm,Province,City,Region,Proacade,Citacade,Regacade
寺庙名称,支派类别,负责人姓名,建立日期,所属省份,所属地级市,所属区县,具体地址,佛寺简介,是否为国内名寺,是否为国家文物保护单位,景区级别,经度,纬度,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
石屋寺,汉语系,张秀英,年代不详,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇郭桥村,石屋寺，位于枞阳县城之东15公里，远望山色青紫，秀色可餐，故名青山。山南峰下有一平坦巨石，天生石柱撑其下，成了天然石屋，面积约200平方米，人居其间，冬暖夏凉，舒适无比。明末宰相何如宠少时曾读书于其屋，今屋顶巨石有其诗刻一首，诗曰：“坚去附地阁山椒，仙隐禅栖万古遥。为向悬崖磨数字，与他后代认前朝”。,,,,117.317131,30.742290,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
宝莲庵,汉语系,左翠荣,年代不详,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇五一村,宝莲庵，位於枞阳县城之东、石矶头以西约三华里的钱麦园老虎山南麓，青松翠竹环抱，风景秀丽，气势巍峨。远眺东西，大江南北，无限风光，尽收眼底。近年来，宝莲庵香火日盛，已被枞阳县宗教部门列入县级保护寺庵之一。[1],,,,117.317604,30.711325,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
白云岩寺,汉语系,陈新良,年代不详,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县白梅乡岩前村,白云岩寺位于安徽省枞阳县七家山中，历史悠久。宋治平元年（1064年），高僧义青禅师为浮山大华严寺住持，以白云岩为方丈室，并在岩顶题“青华严方丈”，今五字依然清淅可见。后白云端、白云二禅师，元了悟禅师都曾住持该寺，弘扬佛法。文革时，寺庙毁损严重，改革后有九华山僧人住持，重修寺庙，周边游客、香客日渐增多，每月初一、十五更是佛事兴隆，但仍以正月初一、初七、十五为盛，游人香客漫山遍野，游岩已成为民间的庆贺春节的传统节目。,,,,117.394836,30.930283,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
白马寺,汉语系,尹秀芳,年代不详,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇连城村,白马寺，民间称白马庙，坐落于安徽省桐城市东南十里的白马乡白马街，约建于唐朝末年，文革时被毁，今于原址重修。,,,,117.207870,30.703152,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
一心庵,汉语系,张玉霞,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县义津镇义津村,,,,,117.194603,30.915192,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
三合寺,汉语系,丁俊元,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县金社乡秀山村,,,,,117.369263,30.885752,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
三圣庵,汉语系,张祥明,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇吴桥村,,,,,117.508698,30.918531,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
三星庵,汉语系,陈启方,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县官埠桥镇官山村,,,,,117.194122,30.790611,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
三贞庵,汉语系,潘翠平,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县麒麟镇岱鳌村,,,,,117.179298,31.067041,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
东阳洞寺,汉语系,丁明枝,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县白梅乡岩前村,,,,,117.394836,30.930283,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
五印庵,汉语系,江夕爱,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县官埠桥镇团山村,,,,,117.312103,30.798820,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
会圣寺,汉语系,仇更生,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县浮山镇浮渡村,,,,,117.266830,30.911411,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
会安寺,汉语系,释悟霞,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县会宫镇栏桥村,,,,,117.292778,30.821512,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
傅家庙,汉语系,杨贤友,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县金社乡杨市村,,,,,117.402031,30.863983,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
准提庵,汉语系,项成西,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇施湾村,,,,,117.617363,30.945232,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
凌云寺,汉语系,徐成松,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县钱铺乡虎栈村,,,,,117.464363,30.970762,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
凤凰禅寺,汉语系,杨素华,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇新华居委会,,,,,117.210518,30.693920,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
北圣庙,汉语系,蒋正林,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县义津镇北圣村,,,,,117.163391,30.870071,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
华佗寺,汉语系,吴东莲,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县金社乡金渡村,,,,,117.373825,30.844723,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
善庆庵,汉语系,李爱枝,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县官埠桥莲湖村,,,,,117.961258,31.028582,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
嘶风寺,汉语系,疏子慎,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县钱桥镇新埠村,,,,,117.191681,31.020262,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
垂手庵,汉语系,方香云,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县义津镇义津街道,,,,,117.198586,30.895893,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
城隍庙,汉语系,钱立友,年代不详,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县白湖乡山河村,,,,,117.321068,30.919630,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
大仙庵,汉语系,严成远,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇严潭村,,,,,117.564804,30.894442,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
大千庵,汉语系,左秀英,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇吴桥村,,,,,117.508698,30.918531,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
大王庙（周潭镇）,汉语系,周济平,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇周潭村,,,,,117.575012,30.908091,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
大王庙（老洲镇）,汉语系,僧红田,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县老洲镇王套村,,,,,117.593620,30.785902,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
天峰寺,汉语系,张友芝,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇小缸窑居委会,,,,,117.166954,30.719612,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
天皇庙,汉语系,高小英,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县钱桥镇邹姚村,,,,,117.232231,30.937561,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
宜青庵,汉语系,姜继明,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县横埠镇范潭村,,,,,117.518448,30.887171,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
宝华禅寺,汉语系,张士中,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县会宫镇栏桥村,,,,,117.292778,30.821512,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
宝墨寺,汉语系,许福玲,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县铁铜乡新丰村,,,,,117.219467,30.657600,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
将军庙（义津镇）,汉语系,暂缺,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县义津镇义东村,,,,,117.207428,30.885721,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
将军庙（钱铺乡）,汉语系,徐成八,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县钱铺乡将军村,,,,,117.484306,30.946951,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
小山庙,汉语系,张邦才,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县藕山镇白荡村,,,,,117.417473,30.754923,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
小望龙庵,汉语系,张美英,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县白湖乡古楼村,,,,,117.313217,30.984661,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
小王庙,汉语系,来发,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇枫林村,,,,,117.607338,30.924030,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
岳王庙,汉语系,孙晓平,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县横埠镇官塘村,,,,,117.494644,30.916601,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
张公庙,汉语系,鲍时秀,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县雨坛乡雨坛村,,,,,117.151909,30.809271,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
望华庵,汉语系,周民生,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇七井村,,,,,117.552063,30.912540,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
望圣庙,汉语系,范春兰,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县金社乡龙口村,,,,,117.394432,30.833651,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
望瑞庵,汉语系,吴礼普,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县横埠镇谋道村,,,,,117.470894,30.872902,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
望龙庵,汉语系,释禅进,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇前进居委会,,,,,117.209114,30.695072,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
朝山庙,汉语系,朱发明,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县藕山镇巢山村,,,,,117.360397,30.774181,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
朝阳庵,汉语系,洪正应,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县钱桥镇朝阳村,,,,,117.228188,31.013451,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
松印寺,汉语系,李秀英,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县官埠桥镇陆岗村,,,,,117.305023,30.788071,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
毛王庙（钱桥镇）,汉语系,汤惠平,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县钱桥镇高丰村,,,,,117.273521,30.964201,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
毛王庙（雨坛乡）,汉语系,胡德秀,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县雨坛乡高峰村,,,,,117.150490,30.764021,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
水府庙,汉语系,方美玲,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县汤沟镇丰乐居委会,,,,,117.552788,30.834681,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
永镇庵,汉语系,吴学琴,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县汤沟镇桂坝村,,,,,117.520302,30.758591,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
汪圣寺,汉语系,黄言香,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县横埠镇官塘村,,,,,117.494644,30.916601,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
汪家庵,汉语系,暂缺,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县钱铺乡钱铺村,,,,,117.452003,30.929972,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
白云寺,汉语系,胡章英,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县藕山镇护国居委会,,,,,117.392815,30.735516,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
白衣庵（官埠桥镇）,汉语系,殷明兰,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县官埠桥镇黄华村,,,,,117.255745,30.763773,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
白衣庵（枞阳镇）,汉语系,殷宏兵,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇青龙村,,,,,117.277328,30.746511,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
白衣庵（麒麟镇）,汉语系,汪春竹,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县麒麟镇麒麟村,,,,,117.138313,30.994720,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
百子庵,汉语系,汤来姑,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县浮山镇浮渡村,,,,,117.266830,30.911411,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
石龙禅寺,汉语系,方红胜,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县官埠桥镇岱冲村,,,,,117.171913,30.759771,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
神登寺,汉语系,戴履龙,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县金社乡桃山村,,,,,117.429123,30.902802,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
禅智寺,汉语系,钱门才,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县钱铺乡钱铺村,,,,,117.452003,30.929972,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
积云庵,汉语系,暂缺,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇施湾村,,,,,117.617363,30.945232,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
老鹤庵,汉语系,吴丽萍,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县汤沟镇彭山村,,,,,117.445702,30.795151,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
芷苇庵,汉语系,钱娟,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县陈瑶湖苎镇村,,,,,117.601990,30.846050,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
莲花禅寺,汉语系,殷学功,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县官埠桥镇继光村,,,,,117.204994,30.771120,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
观音寺,汉语系,吴有云,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇吴桥村,,,,,117.508698,30.918531,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
观音庙,汉语系,疏金华,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县金社乡向荣村,,,,,117.414047,30.905201,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
金谷禅寺,汉语系,唐义华,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县浮山镇浮山村,,,,,117.279922,30.909922,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
金龙寺,汉语系,张老朋,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县会宫镇晓春村,,,,,117.327820,30.825743,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
阳和庙,汉语系,吴桂兰,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县麒麟镇阳和村,,,,,117.158104,31.013103,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
青龙寺,汉语系,释章明,明洪武年间,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县周潭镇吴桥村,,,,,117.508698,30.918531,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
青龙庵,汉语系,释永持,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇青龙村,,,,,117.277328,30.746511,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
静缘庵,汉语系,汪忠恕,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县会宫镇会宫村,,,,,117.253120,30.834381,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
飞阁寺,汉语系,方修龙,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县官埠桥镇岱冲村,,,,,117.171913,30.759771,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
马埠山寺,汉语系,吴宗元,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县项铺镇白石村,,,,,117.342361,30.874241,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
高妙寺,汉语系,吴毛伢,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县金社乡龙口村,,,,,117.394432,30.833651,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
龙山寺,汉语系,朱国光,年代不详,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县白湖乡龙城村,,,,,117.301247,30.970921,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
龙庆庵,汉语系,释常宏,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县金社乡桃山村,,,,,117.429123,30.902802,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
龙泉寺,汉语系,胡爱年,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县官埠桥镇向东村,,,,,117.228119,30.787016,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
慈化庵,汉语系,李海云,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县白湖乡旸岭村,,,,,117.356003,30.954723,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
放生庵,汉语系,黄双武,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县项铺镇石溪村,,,,,117.299660,30.893501,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
旗山寺,汉语系,房厚宽,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县枞阳镇下枞阳居委会,,,,,117.241669,30.695843,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
旺圣庙,汉语系,江年信,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县钱桥镇兴旺村,,,,,117.208633,31.038633,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
智兴庵,汉语系,刘僧敬,,安徽省,安庆市,枞阳县,安徽省安庆市枞阳县汤沟镇民胜村,,,,,117.455093,30.801062,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
圆通禅寺,汉语系,吕庆云,,安徽省,安庆市,大观区,安徽省安庆市大观区十里铺乡林业村,,,,,117.001450,30.569500,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
永宁禅寺,汉语系,华江周,,安徽省,安庆市,大观区,安徽省安庆市大观区海口镇安原社区,,,,,116.940407,30.471863,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
菩提寺,汉语系,王立新,,安徽省,安庆市,大观区,安徽省安庆市大观区山口乡山口镇村,,,,,116.947212,30.514809,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
金岭寺,汉语系,王洪生,,安徽省,安庆市,大观区,安徽省安庆市大观区山口乡柏子村,,,,,116.932053,30.532572,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
镇江寺,汉语系,释圣宝,,安徽省,安庆市,大观区,安徽省安庆市大观区海口镇镇江村,,,,,116.897110,30.470963,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
镇海寺,汉语系,徐美龙,,安徽省,安庆市,大观区,安徽省安庆市大观区海口镇河港社区,,,,,116.957512,30.482222,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
万福寺,汉语系,范结枝,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县三桥镇双河村,,,,,116.729584,30.616409,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
九华庵,汉语系,徐丽清,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县石牌镇永固村,,,,,116.653862,30.406832,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
关帝庙,汉语系,释修元,1995-01-12,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县金拱镇王山村,,,,,116.942642,30.773771,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
圣龙寺,汉语系,鲍远成,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县马庙镇新安村,,,,,116.717522,30.713491,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
墨雨寺,汉语系,张本田,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县平山镇大塅村,,,,,116.697243,30.485092,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
大悲禅寺,汉语系,程旵东,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县江镇镇江家嘴民族村,,,,,116.765129,30.464523,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
大愿寺,汉语系,白云廷,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县平山镇岗山村,,,,,116.639587,30.481783,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
太平寺,汉语系,尹和超,年代不详,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县黄龙镇丰园村,,,,,116.701088,30.516273,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
如意净寺,汉语系,暂缺,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县江镇镇余冲村,,,,,116.773659,30.520252,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
定福寺,汉语系,周泽平,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县三桥镇双塘村,,,,,116.696060,30.609262,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
宝福寺,汉语系,汪春余,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县公岭镇宝福村,,,,,116.749603,30.698780,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
张家檀禅寺,汉语系,刘先全,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县石牌镇杨塅村,,,,,116.636360,30.398441,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
梅花庵,汉语系,黄玉龙,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县清河乡清河社区,,,,,116.712906,30.550768,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
永镇寺,汉语系,文田宝,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县小市镇受泉村,,,,,116.645790,30.579184,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
汪洋寺,汉语系,意彻,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县马庙镇汪洋村,,,,,116.800934,30.768532,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
沙桥寺,汉语系,张自富,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县公岭镇五岭村,,,,,116.715919,30.669012,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
福慧寺,汉语系,曹兵强,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县高河镇高河村,,,,,116.829620,30.724522,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
章岭寺,汉语系,丁根宝,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县秀山乡章岭村,,,,,116.815208,30.652481,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
腾云寺,汉语系,释惟结,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县雷埠乡腾云村,,,,,116.565628,30.407211,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
芦峰寺,汉语系,操乐凤,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县马庙镇粟岗村,,,,,116.791702,30.804861,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
莲花禅寺,汉语系,张自富,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县茶岭镇同形村,,,,,116.840126,30.653446,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
金山寺,汉语系,王淑珍,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县清河乡泉月村,,,,,116.714859,30.526430,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
雷圣寺,汉语系,王正林,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县黄墩镇黄墩社区,,,,,116.738983,30.596212,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
高庙山寺,汉语系,李雪梅,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县腊树镇健康村,,,,,116.587799,30.419542,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
龙池古庵,汉语系,周泽平,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县清河乡金山村,,,,,116.765648,30.535572,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
龙眠寺,汉语系,胡顺舟,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县石镜乡踏水村,,,,,116.813744,30.605831,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
接云寺,汉语系,鲍远明,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县金拱镇人形河居委会,,,,,116.864792,30.800798,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
无量禅寺,汉语系,孙正夫,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县石镜乡分龙村,,,,,116.835739,30.580832,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
普净寺,汉语系,姚传保,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县石牌镇永固村,,,,,116.653862,30.406832,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
普善寺,汉语系,袁文霞,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县月山镇广村村,,,,,116.903458,30.576540,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
普陀寺,汉语系,释觉净,,安徽省,安庆市,怀宁县,安徽省安庆市怀宁县洪铺镇冶塘村,,,,,116.884598,30.552471,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
护国寺,汉语系,释宏春,年代不详,安徽省,安庆市,潜山县,安徽省安庆市潜山县水吼镇林畈村,又称护国庵，座落在天柱峰西侧水吼镇天柱村的妙峰山上，由明末僧人默识初创。清、民国时期，由于此地战事频繁，寺庙屡有兴废。1989年后，当地信众发起捐资重修。1992年，比丘尼释宏春主持修复，先后建成了大雄宝殿、天王殿、念佛堂、讲经堂以及寮房，供奉三身佛、观音、地藏、弥勒、韦驮等佛像。大殿前是石拱桥，桥下有莲池。两个大院内栽有多种花木。整个寺院占地面积1800平方米，建筑面积1000平方米，住持释宏春还担任县佛教协会副会长和县第八、九届政协委员。,,,,116.413437,30.713171,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
三祖禅寺,汉语系,释宽容,年代不详,安徽省,安庆市,潜山县,安徽省安庆市潜山县天柱山镇风景村,三祖寺坐落在大别山东南麓的安徽省潜山县城西北9公里处的谷口凤形山上，占地面积7.04平方公里。三祖禅寺在南朝梁武帝时开山，原名山谷寺，后因禅宗三祖僧璨在此驻锡，故名三祖寺。三祖寺曾有林逋、王安石、苏东坡、黄庭坚、李公麟、陆宰等文人游寺题诗。有诗云“禅林谁第一，此地冠南州”。,,,,116.479263,30.666523,佛寺.csv,buddhist_temple,,,,,,,,,,,,,,,
